,processed_end_dates,end_year,end_month,days_until_end,end_in_past,processed_start_dates,start_year,start_month,days_since_start,start_in_future,num_skills,contains_python,contains_java,contains_excel,contains_sql,contains_leadership,contains_data,num_positions,contains_manager,contains_developer,contains_analyst,contains_engineer,contains_consultant,contains_executive,num_locations,contains_remote,contains_usa,contains_india,contains_bangladesh,contains_uk,contains_canada,location_type,responsibilities_word_count,responsibilities_sentence_count,responsibilities_contains_manage,responsibilities_contains_develop,responsibilities_contains_coordinate,responsibilities_contains_lead,responsibilities_contains_analyze,responsibilities_contains_design,num_activity_types,contains_sports,contains_volunteering,contains_arts,contains_music,contains_debate,contains_coding,num_organizations,contains_university,contains_club,contains_society,contains_association,contains_foundation,num_unique_links,is_invalid_link,num_roles,is_manager,is_developer,is_engineer,is_analyst,is_designer,is_consultant,num_languages,knows_english,knows_spanish,knows_french,knows_german,knows_hindi,knows_mandarin,num_proficiencies,is_fluent,is_native,is_proficient,is_advanced,is_bilingual,num_certification_providers,is_coursera,is_linkedin_learning,is_udemy,is_google,is_microsoft,is_aws,common_providers,other_providers,num_common_providers,num_other_providers,num_certification_skills,has_skill_python,has_skill_java,has_skill_excel,has_skill_sql,has_skill_data,has_skill_management,num_links,has_invalid_links,processed_issue_dates,issue_year,issue_month,days_since_issue,processed_expiry_dates,expiry_year,expiry_month,days_until_expiry,is_expired,primary_role,is_trainee,is_executive,is_administrator,degrees_extracted,fields_extracted,education_level,is_bachelor,is_master,is_phd,is_diploma,is_honors,is_computer_science,is_engineering,is_mechanical_engineering,is_civil_engineering,min_experience,max_experience,experience_category,is_less_than_2_years,is_between_2_and_5_years,is_more_than_5_years,min_age,max_age,is_age_specified,num_responsibilities,contains_machine_learning,contains_data_analysis,contains_troubleshooting,contains_quality,num_skills_required,contains_communication,contains_marketing
10,2024-12-27,2024.0,12.0,0,0,1993-01-01,1993.0,1.0,11683,0,11,0,0,0,0,0,0,3,1,0,0,0,0,0,6,0,0,0,0,0,0,international,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,designer,0,0,0,['bachelor'],"['engineering', 'mechanical engineering']",2,1,0,0,0,0,0,1,1,0,5,,2-5 years,0,1,0,,,False,8,0,0,0,0,2,0,0
11,,,,-1,1,2020-04-01,2020.0,4.0,1731,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,international,36,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],['na'],0,1,0,0,0,0,0,0,0,0,0,,,,-1,,,,-1,1,manager,0,0,0,"['bachelor', 'honors']",[],2,1,0,0,0,1,0,0,0,0,5,,2-5 years,0,1,0,,,False,18,0,0,0,0,3,0,0
12,,,,-1,1,2019-12-01,2019.0,12.0,1853,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,international,43,1,0,1,0,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,engineer,0,0,0,[],"['computer science', 'engineering']",0,0,0,0,0,0,1,1,0,0,5,,2-5 years,0,1,0,,,False,19,1,1,0,0,0,0,0
13,2021-08-01,2021.0,8.0,-1244,1,2021-05-01,2021.0,5.0,1336,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,international,15,1,0,0,0,0,0,1,3,0,0,0,0,0,0,3,1,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,"['coursera', 'udemy']",['sololearn'],2,1,0,0,0,0,0,0,0,0,1,2020-12-01,2020.0,12.0,1487,,,,-1,1,designer,0,0,0,['bachelor'],"['engineering', 'mechanical engineering']",2,1,0,0,0,0,0,1,1,0,5,,2-5 years,0,1,0,,,False,8,0,0,0,0,2,0,0
14,,,,-1,1,2021-01-01,2021.0,1.0,1456,0,13,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,international,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,['aws'],['owasp'],1,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,engineer,0,0,0,"['bachelor', 'diploma']","['engineering', 'mechanical engineering']",2,1,0,0,1,0,0,1,1,0,2,5.0,2-5 years,0,1,0,25.0,40.0,True,4,0,0,1,0,2,0,0
15,,,,-1,1,2020-06-01,2020.0,6.0,1670,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,international,39,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,['aws'],[],1,0,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,administrator,0,0,1,['bachelor'],['computer science'],2,1,0,0,0,0,1,0,0,0,1,,<2 years,1,0,0,25.0,40.0,True,12,0,0,1,0,8,0,0
16,2024-12-27,2024.0,12.0,0,0,2004-07-01,2004.0,7.0,7484,0,11,0,0,0,0,0,0,4,0,0,0,1,1,0,8,0,0,0,0,0,0,international,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,administrator,0,0,1,"['bachelor', 'honors']",[],2,1,0,0,0,1,0,0,0,0,4,5.0,2-5 years,0,1,0,,,False,20,0,0,1,0,3,0,0
17,2024-12-27,2024.0,12.0,0,0,2019-12-01,2019.0,12.0,1853,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,international,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,executive,0,1,0,['master'],[],3,0,1,0,0,0,0,0,0,0,3,,2-5 years,0,1,0,,,False,5,0,0,0,0,6,0,0
18,,,,-1,1,2021-01-01,2021.0,1.0,1456,0,13,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,international,24,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,['aws'],['owasp'],1,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,other,0,0,0,['bachelor'],[],2,1,0,0,0,0,0,0,0,0,5,10.0,2-5 years,0,1,0,30.0,40.0,True,13,0,1,0,0,4,0,0
19,,,,-1,1,2019-03-01,2019.0,3.0,2128,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,international,18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,executive,0,1,0,['bachelor'],"['computer science', 'engineering']",2,1,0,0,0,0,1,1,0,0,3,5.0,2-5 years,0,1,0,,,False,8,0,0,1,0,0,0,0
20,2024-12-27,2024.0,12.0,0,0,2002-08-01,2002.0,8.0,8184,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,0,international,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],['new york state'],0,1,0,0,0,0,0,0,0,0,1,2015-03-04,2015.0,3.0,3586,,,,-1,1,engineer,0,0,0,"['bachelor', 'diploma']","['engineering', 'mechanical engineering']",2,1,0,0,1,0,0,1,1,0,2,5.0,2-5 years,0,1,0,25.0,40.0,True,4,0,0,1,0,2,0,0
21,2024-12-27,2024.0,12.0,0,0,1998-05-01,1998.0,5.0,9737,0,24,0,0,0,0,0,0,3,0,0,0,1,0,0,6,0,0,0,0,0,0,international,28,1,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,engineer,0,0,0,"['bachelor', 'diploma', 'honors']",[],2,1,0,0,1,1,0,0,0,0,3,,2-5 years,0,1,0,25.0,35.0,True,9,0,0,1,0,7,0,0
22,,,,-1,1,2018-05-01,2018.0,5.0,2432,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,international,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,executive,0,1,0,['master'],[],3,0,1,0,0,0,0,0,0,0,3,,2-5 years,0,1,0,,,False,5,0,0,0,0,6,0,0
23,2014-05-01,2014.0,5.0,-3893,1,2001-07-01,2001.0,7.0,8580,0,46,0,0,0,0,0,0,6,0,0,1,1,0,0,12,0,0,0,0,0,0,international,19,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,engineer,0,0,0,['bachelor'],[],2,1,0,0,0,0,0,0,0,0,0,,<2 years,1,0,0,20.0,35.0,True,8,0,0,0,0,0,0,0
24,,,,-1,1,2020-02-01,2020.0,2.0,1791,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,international,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,executive,0,1,0,[],[],0,0,0,0,0,0,0,0,0,0,1,3.0,<2 years,1,0,0,,,False,7,0,0,0,0,1,0,0
25,,,,-1,1,2012-01-01,2012.0,1.0,4744,0,9,0,0,0,0,0,0,3,0,0,0,1,0,0,5,1,0,0,0,0,0,remote,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,['aws'],['csm'],1,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,engineer,0,0,0,"['bachelor', 'diploma']","['engineering', 'mechanical engineering']",2,1,0,0,1,0,0,1,1,0,2,5.0,2-5 years,0,1,0,25.0,40.0,True,4,0,0,1,0,2,0,0
26,2024-12-27,2024.0,12.0,0,0,2019-11-01,2019.0,11.0,1883,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,international,20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,executive,0,1,0,['master'],[],3,0,1,0,0,0,0,0,0,0,2,4.0,2-5 years,0,1,0,,,False,7,0,0,0,0,2,0,0
27,2024-12-27,2024.0,12.0,0,0,2018-06-01,2018.0,6.0,2401,0,5,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,international,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,trainee,1,0,0,['bachelor'],"['engineering', 'mechanical engineering']",2,1,0,0,0,0,0,1,1,0,0,,<2 years,1,0,0,,,False,8,0,0,1,0,4,0,0
28,2024-12-27,2024.0,12.0,0,0,1994-08-01,1994.0,8.0,11106,0,33,0,0,0,0,0,0,4,1,0,0,1,0,0,8,0,0,0,0,0,0,international,43,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,engineer,0,0,0,[],"['computer science', 'engineering']",0,0,0,0,0,0,1,1,0,0,5,,2-5 years,0,1,0,,,False,19,1,1,0,0,0,0,0
29,,,,-1,1,2020-06-01,2020.0,6.0,1670,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,international,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,['aws'],[],1,0,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,engineer,0,0,0,"['bachelor', 'master']","['computer science', 'engineering']",3,1,1,0,0,0,1,1,0,0,0,,<2 years,1,0,0,,,False,11,1,1,0,0,5,0,0
30,2020-01-01,2020.0,1.0,-1822,1,2019-01-01,2019.0,1.0,2187,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,international,18,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,other,0,0,0,['bachelor'],[],2,1,0,0,0,0,0,0,0,0,0,,<2 years,1,0,0,18.0,30.0,True,10,0,0,0,0,1,0,0
31,2020-06-01,2020.0,6.0,-1670,1,2016-05-01,2016.0,5.0,3162,0,3,0,1,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,international,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,engineer,0,0,0,"['bachelor', 'honors']",[],2,1,0,0,0,1,0,0,0,0,3,,2-5 years,0,1,0,,,False,9,0,0,0,0,8,0,0
32,2016-01-01,2016.0,1.0,-3283,1,1981-11-01,1981.0,11.0,15762,0,27,0,0,0,0,0,0,3,1,0,0,1,0,0,6,0,0,0,0,0,0,international,17,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,executive,0,1,0,['master'],[],3,0,1,0,0,0,0,0,0,0,3,,2-5 years,0,1,0,,,False,5,0,0,0,0,6,0,0
33,,,,-1,1,2019-01-01,2019.0,1.0,2187,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,international,30,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,engineer,0,0,0,['bachelor'],['computer science'],2,1,0,0,0,0,1,0,0,0,4,,2-5 years,0,1,0,,,False,15,0,0,0,1,8,0,0
34,,,,-1,1,2008-04-01,2008.0,4.0,6114,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,international,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,executive,0,1,0,['bachelor'],"['computer science', 'engineering']",2,1,0,0,0,0,1,1,0,0,3,5.0,2-5 years,0,1,0,,,False,8,0,0,1,0,0,0,0
35,,,,-1,1,2018-12-01,2018.0,12.0,2218,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,international,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,administrator,0,0,1,"['bachelor', 'honors']",[],2,1,0,0,0,1,0,0,0,0,4,5.0,2-5 years,0,1,0,,,False,20,0,0,1,0,3,0,0
36,2020-10-01,2020.0,10.0,-1548,1,2020-01-01,2020.0,1.0,1822,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,international,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[],['tableau'],0,1,0,0,0,0,0,0,0,0,0,2020-01-01,2020.0,1.0,1822,,,,-1,1,engineer,0,0,0,"['bachelor', 'master']","['computer science', 'engineering']",3,1,1,0,0,0,1,1,0,0,0,,<2 years,1,0,0,,,False,11,1,1,0,0,5,0,0
37,,,,-1,1,2019-03-01,2019.0,3.0,2128,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,international,23,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],['unknown'],0,1,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,executive,0,1,0,[],[],0,0,0,0,0,0,0,0,0,0,1,3.0,<2 years,1,0,0,,,False,7,0,0,0,0,1,0,0
38,2021-03-01,2021.0,3.0,-1397,1,2019-08-01,2019.0,8.0,1975,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,international,23,1,0,1,0,0,0,1,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],0,0,0,0,0,0,0,0,0,0,1,,,,-1,,,,-1,1,engineer,0,0,0,['bachelor'],[],2,1,0,0,0,0,0,0,0,0,5,8.0,2-5 years,0,1,0,,,False,9,0,0,0,1,6,0,0
